"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-tl.php", "PHP", 0, -20, 0, 0, 0, -6, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-tr.php", "PHP", 0, -20, 0, 0, 0, -9, -1, -30
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-uk.php", "PHP", 0, -20, 0, 0, 0, -6, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-vi.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-zh.php", "PHP", 0, -20, 0, 0, 0, -7, -1, -28
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-zh_cn.php", "PHP", 0, -27, 0, 0, 0, -7, -1, -35
"c:\xampp\htdocs\routeready\app\libraries\mail\src\DSNConfigurator.php", "PHP", 0, -136, 0, 0, 0, -80, -1, -217
"c:\xampp\htdocs\routeready\app\libraries\mail\src\Exception.php", "PHP", 0, -9, 0, 0, 0, -28, -1, -38
"c:\xampp\htdocs\routeready\app\libraries\mail\src\OAuth.php", "PHP", 0, -46, 0, 0, 0, -79, -1, -126
"c:\xampp\htdocs\routeready\app\libraries\mail\src\OAuthTokenProvider.php", "PHP", 0, -6, 0, 0, 0, -35, -1, -42
"c:\xampp\htdocs\routeready\app\libraries\mail\src\PHPMailer.php", "PHP", 0, -2926, 0, 0, 0, -1933, -1, -4860
"c:\xampp\htdocs\routeready\app\libraries\mail\src\POP3.php", "PHP", 0, -181, 0, 0, 0, -234, -1, -416
